Role.in.Operation,County,County.Multiple,Regions,Total.Yield.Bearing.Acreage,Acre.Ranges,Cover.Crop.Grown,Cover.Crop.Seeds,Cover.Crop.Satisfaction,Cover.Crop.Interest,Cover.Crop.Concerns,Cover.Crop.Incentives,Pollination,Beekeeper.Location,Rental.Price,Age
"Owner, not responsible for day-to-day management",Kings,Kings,South,57,Medium,No,NA,NA,Not sure,"Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)",Increased strength of bee colonies during bloom,We rented all our bees,Prefer not to answer,120,25-34 years old
Farm manager (not owner),Yolo,Yolo,Delta,5,Small,Yes,"Private cost-share program (e.g., Seeds for Bees)",Somewhat Satisfied,NA,"Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Inadequate soil type for cover crops,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)",NA,Our orchards were not mature enough for bee pollination,NA,NA,45-54 years old
Owner/operator of almond orchard(s),Yolo,Yolo,Delta,688,Large,Yes,Directly from seed company,Somewhat Satisfied,NA,"Availability of water,Cost of seeds",NA,We rented some bees and supplied some of our own,"California, but not a neighboring county",N/A,35-44 years old
Farm manager (not owner),Madera,Madera,Central,7000,Large,No,NA,NA,Yes,"Availability of equipment needed to plant seeds,Limited time for planting due to competing operations",Private cost-share program that covers the cost of cover crop seeds,We rented all our bees,Out of state,210,25-34 years old
Owner/operator of almond orchard(s),Fresno,Fresno,South,70,Medium,No,NA,NA,Yes,"Incompatibility with irrigation system(s),Cost of equipment needed to plant seeds,Limited time for planting due to competing operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,180,35-44 years old
Farm manager (not owner),Kern,Kern,South,25000,Large,No,NA,NA,No,"Availability of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations",Increased strength of bee colonies during bloom,We rented some bees and supplied some of our own,Out of state,210,25-34 years old
"Owner, not responsible for day-to-day management","San Joaquin,Madera,Fresno",Multiple,Central,425,Large,No,NA,NA,Not sure,"Effort/time to manage it,Increased risk of frost damage,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom",We rented all our bees,Out of state,200,35-44 years old
"Owner, not responsible for day-to-day management","Stanislaus,Fresno",Multiple,South,1550,Large,No,NA,NA,Yes,"Availability of water,Effort/time to manage it,Cost of seeds,Increased risk of frost damage,Physical interference with operations","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds",We rented all our bees,Out of state,205,25-34 years old
Farm manager (not owner),N/A,,NA,14,Small,No,NA,NA,Yes,"Labor to grow/maintain it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Increased strength of bee colonies during bloom",We rented all our bees,Out of state,200,25-34 years old
Owner/operator of almond orchard(s),San Joaquin,San Joaquin,Central,100,Medium,Yes,PCA/CCA/Crop consultant,Very Satisfied,NA,We have no concerns about cover crops,NA,We rented all our bees,Out of state,195,25-34 years old
Owner/operator of almond orchard(s),"San Joaquin,Stanislaus",Multiple,Central,1400,Large,Yes,Directly from seed company,Somewhat Satisfied,NA,"Availability of water,Labor to grow/maintain it,Increased risk of frost damage",NA,We rented all our bees,Out of state,145,25-34 years old
Farm manager (not owner),San Joaquin,San Joaquin,Central,300,Large,No,NA,NA,No,"Availability of water,Incompatibility with irrigation system(s),Labor to grow/maintain it",Increased strength of bee colonies during bloom,We rented all our bees,Out of state,NA,25-34 years old
"Owner, not responsible for day-to-day management",Yolo,Yolo,Delta,20,Small,Yes,PCA/CCA/Crop consultant,Very Satisfied,NA,Prefer not to answer,NA,Prefer not to answer,Prefer not to answer,NA,18-24 years old
Farm manager (not owner),Kern,Kern,South,7000,Large,No,NA,NA,Not sure,"Availability of water,Expense of water,Effort/time to manage it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Increased risk of frost damage",Easy/affordable access to equipment needed to plant seeds,We rented some bees and supplied some of our own,Out of state,NA,25-34 years old
Farm manager (not owner),Fresno,Fresno,South,100,Medium,No,NA,NA,No,Effort/time to manage it,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",We supplied all of our own bee pollination,NA,NA,55-64 years old
Farm manager (not owner),Kern,Kern,South,7000,Large,No,NA,NA,Not sure,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Availability of equipment needed to plant seeds,Limited time for planting due to competing operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds",We rented some bees and supplied some of our own,Out of state,200,25-34 years old
Farm manager (not owner),Stanislaus,Stanislaus,Central,800,Large,Yes,"Directly from seed company,PCA/CCA/Crop consultant",Very Satisfied,NA,"Effort/time to manage it,Cost of seeds,Limited time for planting due to competing operations",NA,We rented all our bees,Out of state,185,25-34 years old
Farm manager (not owner),Madera,Madera,Central,N/A,NA,No,NA,NA,Yes,"Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it",Easy/affordable access to equipment needed to plant seeds,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,N/A,18-24 years old
Farm manager (not owner),Fresno,Fresno,South,100,Medium,Yes,PCA/CCA/Crop consultant,Very Satisfied,NA,"Effort/time to manage it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)",NA,We rented all our bees,Out of state,300,45-54 years old
Farm manager (not owner),Madera,Madera,Central,35000,Large,No,NA,NA,Not sure,"Incompatibility with irrigation system(s),Labor to grow/maintain it,Availability of equipment needed to plant seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",We rented some bees and supplied some of our own,Out of state,NA,25-34 years old
Farm manager (not owner),San Joaquin,San Joaquin,Central,0,NA,No,NA,NA,Not sure,We have no concerns about cover crops,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Increased strength of bee colonies during bloom",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,NA,25-34 years old
Farm manager (not owner),San Joaquin,San Joaquin,Central,70,Medium,No,NA,NA,Not sure,"Limited time for planting due to competing operations,Physical interference with operations",Increased strength of bee colonies during bloom,We rented all our bees,"California, but not a neighboring county",NA,25-34 years old
Owner/operator of almond orchard(s),Glenn,Glenn,North,128,Medium,No,NA,NA,No,"Availability of water,Expense of water,Inadequate soil type for cover crops,Increased risk of frost damage",None of these are incentives,We rented all our bees,Out of state,210,45-54 years old
Owner/operator of almond orchard(s),"San Joaquin,Stanislaus",Multiple,Central,300,Large,No,NA,NA,Yes,"Incompatibility with irrigation system(s),Cost of seeds","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom",We rented all our bees,Prefer not to answer,185,35-44 years old
Owner/operator of almond orchard(s),Fresno,Fresno,South,100,Medium,No,NA,NA,Not sure,"Increased risk of frost damage,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Federal cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom",We rented all our bees,Out of state,210,18-24 years old
"Owner, not responsible for day-to-day management",Fresno,Fresno,South,500,Large,No,NA,NA,No,"Incompatibility with irrigation system(s),Effort/time to manage it","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",We rented all our bees,Out of state,300,55-64 years old
Farm manager (not owner),Kern,Kern,South,N/A,NA,Yes,PCA/CCA/Crop consultant,Somewhat Satisfied,NA,"Availability of equipment needed to plant seeds,Inadequate soil type for cover crops",NA,We rented all our bees,Out of state,NA,25-34 years old
Farm manager (not owner),Stanislaus,Stanislaus,Central,20,Small,No,NA,NA,No,Increased risk of frost damage,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",Our orchards were not mature enough for bee pollination,NA,NA,45-54 years old
Owner/operator of almond orchard(s),Madera,Madera,Central,60,Medium,Yes,PCA/CCA/Crop consultant,Very Satisfied,NA,"Incompatibility with irrigation system(s),Effort/time to manage it,Cost of equipment needed to plant seeds,Cost of seeds",NA,We rented all our bees,Out of state,NA,25-34 years old
Farm manager (not owner),Fresno,Fresno,South,100,Medium,Yes,PCA/CCA/Crop consultant,Very Satisfied,NA,We have no concerns about cover crops,NA,We rented all our bees,Out of state,NA,25-34 years old
Owner/operator of almond orchard(s),Fresno,Fresno,South,50,Medium,No,NA,NA,Not sure,Effort/time to manage it,None of these are incentives,We rented all our bees,"California, but not a neighboring county",185,35-44 years old
Farm manager (not owner),Kern,Kern,South,35000,Large,Yes,"Private cost-share program (e.g., Seeds for Bees)",Not Satisfied,NA,"Limited time for planting due to competing operations,Physical interference with operations",NA,We rented some bees and supplied some of our own,Out of state,220,35-44 years old
Farm manager (not owner),"Madera,Fresno,Kings,Tulare,Kern",Multiple,South,1500,Large,No,NA,NA,Yes,"Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,Out of state,NA,25-34 years old
Farm manager (not owner),Madera,Madera,Central,1500,Large,No,NA,NA,No,"Availability of water,Expense of water",None of these are incentives,We rented all our bees,"California, but not a neighboring county",N/A,45-54 years old
Farm manager (not owner),Madera,Madera,Central,1900,Large,No,NA,NA,Yes,"Availability of water,Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,Out of state,195,25-34 years old
Farm manager (not owner),Madera,Madera,Central,1700,Large,No,NA,NA,Yes,"Availability of water,Expense of water",Decreased rental fee for managed bee colonies,We rented all our bees,Out of state,200,25-34 years old
Farm manager (not owner),Madera,Madera,Central,1200,Large,No,NA,NA,Yes,"Availability of water,Expense of water",Decreased rental fee for managed bee colonies,We rented some bees and supplied some of our own,Out of state,200,25-34 years old
Farm manager (not owner),"Yolo,Stanislaus,Fresno",Multiple,South,15,Small,Yes,"Private cost-share program (e.g., Seeds for Bees),Directly from seed company",Very Satisfied,NA,"Availability of water,Expense of water,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)",NA,We rented some bees and supplied some of our own,"Near your orchard(s): from the same county or a neighboring county,California, but not a neighboring county",NA,55-64 years old
Owner/operator of almond orchard(s),Yolo,Yolo,Delta,500,Large,Yes,"Private cost-share program (e.g., Seeds for Bees)",Somewhat Satisfied,NA,"Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it,Limited time for planting due to competing operations",NA,We rented some bees and supplied some of our own,Near your orchard(s): from the same county or a neighboring county,NA,25-34 years old
Owner/operator of almond orchard(s),Madera,Madera,Central,200,Medium,No,NA,NA,Yes,"Expense of water,Effort/time to manage it,Labor to grow/maintain it,Availability of equipment needed to plant seeds,Inadequate soil type for cover crops","Federal cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom",We rented all our bees,Out of state,NA,35-44 years old
Farm manager (not owner),Kern,Kern,South,6512,Large,No,NA,NA,No,Prefer not to answer,None of these are incentives,We rented all our bees,Out of state,NA,25-34 years old
Farm manager (not owner),Madera,Madera,Central,1500,Large,No,NA,NA,Not sure,Prefer not to answer,"Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds",We supplied all of our own bee pollination,NA,NA,35-44 years old
Owner/operator of almond orchard(s),Madera,Madera,Central,4,Small,Yes,"Federal cost-share program (e.g., EQIP),Directly from seed company",Somewhat Satisfied,NA,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of seeds,Inadequate soil type for cover crops,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)",NA,We rented all our bees,"Near your orchard(s): from the same county or a neighboring county,California, but not a neighboring county",175,45-54 years old
Farm manager (not owner),San Joaquin,San Joaquin,Central,5,Small,Yes,Directly from seed company,Very Satisfied,NA,Inadequate soil type for cover crops,NA,We rented some bees and supplied some of our own,Near your orchard(s): from the same county or a neighboring county,195,35-44 years old
Farm manager (not owner),Stanislaus,Stanislaus,Central,45,Medium,No,NA,NA,Not sure,Prefer not to answer,None of these are incentives,We rented all our bees,"Near your orchard(s): from the same county or a neighboring county,California, but not a neighboring county,Out of state",195,25-34 years old
Owner/operator of almond orchard(s),Tulare,Tulare,South,20,Small,No,NA,NA,Not sure,"Availability of water,Expense of water,Effort/time to manage it,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies",Our orchards were not mature enough for bee pollination,NA,NA,45-54 years old
"Owner, not responsible for day-to-day management",Stanislaus,Stanislaus,Central,20,Small,No,NA,NA,No,Effort/time to manage it,None of these are incentives,We rented all our bees,"California, but not a neighboring county",160,25-34 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,115,Medium,Yes,"Private cost-share program (e.g., Seeds for Bees),Directly from seed company",Very Satisfied,NA,"Increased risk of frost damage,Limited time for planting due to competing operations",NA,We rented some bees and supplied some of our own,Out of state,180,45-54 years old
Farm manager (not owner),"Stanislaus,Madera",Multiple,Central,6000,Large,No,NA,NA,Yes,"Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations","Decreased rental fee for managed bee colonies,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds",We rented all our bees,Out of state,210,25-34 years old
Owner/operator of almond orchard(s),"Tehama,Butte,Glenn,Colusa",Multiple,North,5500,Large,Yes,"Private cost-share program (e.g., Seeds for Bees),Directly from seed company",Somewhat Satisfied,NA,"Incompatibility with irrigation system(s),Cost of equipment needed to plant seeds,Limited time for planting due to competing operations",NA,We rented all our bees,"Near your orchard(s): from the same county or a neighboring county,Out of state",195,55-64 years old
Owner/operator of almond orchard(s),Kern,Kern,South,14000,Large,No,NA,NA,Not sure,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Limited time for planting due to competing operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies",We rented all our bees,"California, but not a neighboring county,Out of state",NA,45-54 years old
Farm manager (not owner),Kern,Kern,South,420,Large,No,NA,NA,Not sure,"Labor to grow/maintain it,Limited time for planting due to competing operations,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,"Near your orchard(s): from the same county or a neighboring county,California, but not a neighboring county",230,25-34 years old
Farm manager (not owner),Stanislaus,Stanislaus,Central,100,Medium,No,NA,NA,No,Increased risk of frost damage,None of these are incentives,We rented all our bees,Out of state,160,25-34 years old
Owner/operator of almond orchard(s),Merced,Merced,Central,50,Medium,No,NA,NA,Not sure,We have no concerns about cover crops,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Increased strength of bee colonies during bloom",We rented all our bees,"California, but not a neighboring county",275,25-34 years old
Farm manager (not owner),Stanislaus,Stanislaus,Central,200,Medium,Yes,"Private cost-share program (e.g., Seeds for Bees)",Somewhat Satisfied,NA,"Availability of water,Expense of water,Incompatibility with irrigation system(s)",NA,Our orchards were not mature enough for bee pollination,NA,NA,25-34 years old
Farm manager (not owner),Fresno,Fresno,South,5,Small,No,NA,NA,No,Inadequate soil type for cover crops,Prefer not to answer,We supplied all of our own bee pollination,NA,NA,25-34 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,200,Medium,Yes,Directly from seed company,Somewhat Satisfied,NA,"Availability of water,Expense of water,Increased risk of frost damage",NA,We rented all our bees,"California, but not a neighboring county",165,55-64 years old
Owner/operator of almond orchard(s),Merced,Merced,Central,96,Medium,No,NA,NA,Yes,Physical interference with operations,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Private cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,180,65-74 years old
Farm manager (not owner),Stanislaus,Stanislaus,Central,30,Small,Yes,"Private cost-share program (e.g., Seeds for Bees)",Very Satisfied,NA,"Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it,Increased risk of frost damage",NA,We rented some bees and supplied some of our own,"Near your orchard(s): from the same county or a neighboring county,Out of state",185,25-34 years old
"Owner, not responsible for day-to-day management",Merced,Merced,Central,18,Small,Yes,Directly from seed company,Very Satisfied,NA,Cost of seeds,NA,We supplied all of our own bee pollination,NA,NA,55-64 years old
Farm manager (not owner),Tulare,Tulare,South,72,Medium,No,NA,NA,Not sure,Physical interference with operations,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,"California, but not a neighboring county",195,45-54 years old
"Owner, not responsible for day-to-day management",Merced,Merced,Central,25,Small,Yes,Directly from seed company,Very Satisfied,NA,"Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it,Inadequate soil type for cover crops,Increased risk of frost damage,Limited time for planting due to competing operations,Physical interference with operations",NA,We supplied all of our own bee pollination,NA,NA,35-44 years old
Owner/operator of almond orchard(s),Merced,Merced,Central,160,Medium,No,NA,NA,Not sure,"Effort/time to manage it,Labor to grow/maintain it,Availability of equipment needed to plant seeds,Increased risk of frost damage,Limited time for planting due to competing operations",Increased strength of bee colonies during bloom,We rented all our bees,Out of state,170,35-44 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,250,Large,No,NA,NA,Not sure,"Effort/time to manage it,Cost of equipment needed to plant seeds,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom",We rented all our bees,"California, but not a neighboring county",150,35-44 years old
Farm manager (not owner),Fresno,Fresno,South,5,Small,No,NA,NA,Yes,Cost of equipment needed to plant seeds,"Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,"California, but not a neighboring county",190,25-34 years old
Owner/operator of almond orchard(s),Merced,Merced,Central,12,Small,No,NA,NA,Yes,Physical interference with operations,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,180,65-74 years old
Farm manager (not owner),Colusa,Colusa,North,95,Medium,Yes,"Private cost-share program (e.g., Seeds for Bees)",Very Satisfied,NA,We have no concerns about cover crops,NA,We rented all our bees,"California, but not a neighboring county",200,35-44 years old
"Owner, not responsible for day-to-day management","Stanislaus,Madera",Multiple,Central,230,Large,No,NA,NA,Not sure,"Effort/time to manage it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom",We rented some bees and supplied some of our own,Out of state,185,25-34 years old
"Owner, not responsible for day-to-day management",San Joaquin,San Joaquin,Central,39,Small,No,NA,NA,Yes,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We supplied all of our own bee pollination,NA,NA,35-44 years old
Farm manager (not owner),San Joaquin,San Joaquin,Central,65,Medium,Yes,Directly from seed company,Not Satisfied,NA,Increased risk of frost damage,NA,We supplied all of our own bee pollination,NA,NA,45-54 years old
Farm manager (not owner),Tulare,Tulare,South,40,Small,No,NA,NA,Yes,Physical interference with operations,"Decreased rental fee for managed bee colonies,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,"California, but not a neighboring county",195,45-54 years old
Farm manager (not owner),Stanislaus,Stanislaus,Central,7,Small,No,NA,NA,Not sure,Prefer not to answer,"Federal cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom",We supplied all of our own bee pollination,NA,NA,35-44 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,40,Small,Yes,Directly from seed company,Somewhat Satisfied,NA,"Availability of equipment needed to plant seeds,Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations",NA,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,185,35-44 years old
Farm manager (not owner),San Joaquin,San Joaquin,Central,25,Small,No,NA,NA,Yes,"Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Cost of seeds,Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations",Easy/affordable access to equipment needed to plant seeds,We supplied all of our own bee pollination,NA,NA,35-44 years old
"Owner, not responsible for day-to-day management",Madera,Madera,Central,6,Small,No,NA,NA,Not sure,We have no concerns about cover crops,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Increased strength of bee colonies during bloom",Our orchards were not mature enough for bee pollination,NA,NA,35-44 years old
Farm manager (not owner),Madera,Madera,Central,40,Small,No,NA,NA,No,"Availability of water,Expense of water,Increased risk of frost damage",None of these are incentives,We rented all our bees,Out of state,NA,45-54 years old
Farm manager (not owner),Yuba,Yuba,Delta,52,Medium,Yes,Directly from seed company,Very Satisfied,NA,Limited time for planting due to competing operations,NA,We rented all our bees,Out of state,200,35-44 years old
"Owner, not responsible for day-to-day management",San Joaquin,San Joaquin,Central,12,Small,No,NA,NA,No,Prefer not to answer,None of these are incentives,We rented all our bees,"California, but not a neighboring county",195,35-44 years old
Farm manager (not owner),Merced,Merced,Central,50,Medium,No,NA,NA,Not sure,We have no concerns about cover crops,Prefer not to answer,We rented some bees and supplied some of our own,"California, but not a neighboring county",180,35-44 years old
Farm manager (not owner),Fresno,Fresno,South,125,Medium,Yes,Directly from seed company,Very Satisfied,NA,"Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Availability of equipment needed to plant seeds,Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations",NA,We supplied all of our own bee pollination,NA,NA,35-44 years old
Farm manager (not owner),Stanislaus,Stanislaus,Central,140,Medium,No,NA,NA,Not sure,"Effort/time to manage it,Labor to grow/maintain it",Easy/affordable access to equipment needed to plant seeds,We rented some bees and supplied some of our own,"California, but not a neighboring county",195,25-34 years old
"Owner, not responsible for day-to-day management",Colusa,Colusa,North,43,Medium,Yes,PCA/CCA/Crop consultant,Somewhat Satisfied,NA,We have no concerns about cover crops,NA,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,200,35-44 years old
