EndDate,Role in Operation,County,Regions,Total Yield Bearing Acreage,Acre Ranges,Total Non-Yield Bearing Acreage,Pollination Manager,Cover Crop Grown,Cover Crop Seeds,Cover Crop Satisfaction,Cover Crop Interest,Cover Crop Concerns,Cover Crop Incentives,Water Source,PPH Grown,PPH Satisfaction,PPH Interest,PPH Concerns,PPH Incentives,Pollination,Beekeeper Location,Rental Price,Age
12/10/19,Farm manager (not owner),Yolo,Delta,5,Small,1,"Owner of the almond orchard(s),Affiliated PCA (with an agricultural retailer)",Yes,"Private cost-share program (e.g., Seeds for Bees)",Somewhat Satisfied,,"Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Inadequate soil type for cover crops,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)",,Groundwater,Yes,Somewhat Satisfied,,"Labor to plant and maintain it,Cost to plant and maintain it,Availability of water","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",Our orchards were not mature enough for bee pollination,,,45-54 years old
12/10/19,Owner/operator of almond orchard(s),Yolo,Delta,688,Large,58,Pesticide applicator,Yes,Directly from seed company,Somewhat Satisfied,,"Availability of water,Cost of seeds",,A combination of surface water and groundwater,Not sure,,Not sure,"Availability of water,Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat",Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,We rented some bees and supplied some of our own,"California, but not a neighboring county",N/A,35-44 years old
12/10/19,Farm manager (not owner),Madera,Central,7000,Large,0,Farm manager,No,,,Yes,"Availability of equipment needed to plant seeds,Limited time for planting due to competing operations",Private cost-share program that covers the cost of cover crop seeds,A combination of surface water and groundwater,Yes,Somewhat Satisfied,,We have no concerns about permanent habitat,Supporting native pollinators,We rented all our bees,Out of state,210,25-34 years old
12/10/19,Owner/operator of almond orchard(s),Fresno,South,70,Medium,95,Owner of the almond orchard(s),No,,,Yes,"Incompatibility with irrigation system(s),Cost of equipment needed to plant seeds,Limited time for planting due to competing operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",A combination of surface water and groundwater,No,,Not sure,"Lack of available land,Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Incompatibility with irrigation system(s),Physical interference with operations","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,Near your orchard(s): from the same county or a neighboring county,180,35-44 years old
12/10/19,Farm manager (not owner),Kern,South,25000,Large,1500,"Farm manager,Independent PCA (not affiliated with an agricultural retailer)",No,,,No,"Availability of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations",Increased strength of bee colonies during bloom,A combination of surface water and groundwater,Yes,Not Satisfied,,"Lack of available land,Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Incompatibility with irrigation system(s),Physical interference with operations,Expense of water",Decreased rental fee for managed bee colonies,We rented some bees and supplied some of our own,Out of state,210,25-34 years old
12/11/19,"Owner, not responsible for day-to-day management","San Joaquin,Madera,Fresno",Central,425,Large,88,"Owner of the almond orchard(s),Farm manager,Independent PCA (not affiliated with an agricultural retailer)",No,,,Not sure,"Effort/time to manage it,Increased risk of frost damage,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom",A combination of surface water and groundwater,Yes,Not Satisfied,,"Labor to plant and maintain it,Effort/time to manage it,Lack of information about how to grow permanent pollinator habitat","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,Out of state,200,35-44 years old
12/11/19,"Owner, not responsible for day-to-day management","Stanislaus,Fresno",South,1550,Large,450,"Farm manager,Independent PCA (not affiliated with an agricultural retailer),Beekeeper",No,,,Yes,"Availability of water,Effort/time to manage it,Cost of seeds,Increased risk of frost damage,Physical interference with operations","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds",A combination of surface water and groundwater,Not sure,,Yes,"Lack of available land,Labor to plant and maintain it,Effort/time to manage it,Physical interference with operations,Lack of information about how to grow permanent pollinator habitat,Availability of water","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,Out of state,205,25-34 years old
12/11/19,Farm manager (not owner),N/A,NA,14,Small,0,Affiliated PCA (with an agricultural retailer),No,,,Yes,"Labor to grow/maintain it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Increased strength of bee colonies during bloom",Surface water,No,,Not sure,Lack of available land,Increased strength of bee colonies during bloom and afterwards,We rented all our bees,Out of state,200,25-34 years old
12/11/19,Owner/operator of almond orchard(s),San Joaquin,Central,100,Medium,100,"Owner of the almond orchard(s),Affiliated PCA (with an agricultural retailer)",Yes,PCA/CCA/Crop consultant,Very Satisfied,,We have no concerns about cover crops,,A combination of surface water and groundwater,No,,No,Cost to plant and maintain it,None of these are incentives,We rented all our bees,Out of state,195,25-34 years old
12/11/19,Owner/operator of almond orchard(s),"San Joaquin,Stanislaus",Central,1400,Large,200,Owner of the almond orchard(s),Yes,Directly from seed company,Somewhat Satisfied,,"Availability of water,Labor to grow/maintain it,Increased risk of frost damage",,Groundwater,Yes,Somewhat Satisfied,,Lack of available land,"Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Increased strength of bee colonies during bloom and afterwards",We rented all our bees,Out of state,145,25-34 years old
12/11/19,Farm manager (not owner),San Joaquin,Central,300,Large,40,Affiliated PCA (with an agricultural retailer),No,,,No,"Availability of water,Incompatibility with irrigation system(s),Labor to grow/maintain it",Increased strength of bee colonies during bloom,A combination of surface water and groundwater,Not sure,,Not sure,We have no concerns about permanent habitat,"Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,Out of state,,25-34 years old
12/11/19,"Owner, not responsible for day-to-day management",Yolo,Delta,20,Small,120,"Farm manager,Affiliated PCA (with an agricultural retailer)",Yes,PCA/CCA/Crop consultant,Very Satisfied,,Prefer not to answer,,Surface water,Not sure,,Not sure,Prefer not to answer,9,Prefer not to answer,Prefer not to answer,,18-24 years old
12/11/19,Farm manager (not owner),Kern,South,7000,Large,2000,Farm manager,No,,,Not sure,"Availability of water,Expense of water,Effort/time to manage it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Increased risk of frost damage",Easy/affordable access to equipment needed to plant seeds,A combination of surface water and groundwater,No,,No,We have no concerns about permanent habitat,Supporting native pollinators,We rented some bees and supplied some of our own,Out of state,,25-34 years old
12/11/19,Farm manager (not owner),Fresno,South,100,Medium,0,Farm manager,No,,,No,Effort/time to manage it,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",A combination of surface water and groundwater,No,,Not sure,Increased risk of frost damage,Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,We supplied all of our own bee pollination,,,55-64 years old
12/11/19,Farm manager (not owner),Kern,South,7000,Large,3000,"Owner of the almond orchard(s),Farm manager",No,,,Not sure,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Availability of equipment needed to plant seeds,Limited time for planting due to competing operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds",Surface water,No,,Not sure,"Lack of available land,Labor to plant and maintain it,Effort/time to manage it,Availability of water",Decreased rental fee for managed bee colonies,We rented some bees and supplied some of our own,Out of state,200,25-34 years old
12/11/19,Farm manager (not owner),Stanislaus,Central,800,Large,200,Independent PCA (not affiliated with an agricultural retailer),Yes,"Directly from seed company,PCA/CCA/Crop consultant",Very Satisfied,,"Effort/time to manage it,Cost of seeds,Limited time for planting due to competing operations",,Surface water,Yes,Somewhat Satisfied,,Lack of available land,Increased strength of bee colonies during bloom and afterwards,We rented all our bees,Out of state,185,25-34 years old
12/11/19,Farm manager (not owner),Madera,Central,N/A,NA,N/A,Affiliated PCA (with an agricultural retailer),No,,,Yes,"Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it",Easy/affordable access to equipment needed to plant seeds,A combination of surface water and groundwater,Yes,Somewhat Satisfied,,"Cost to plant and maintain it,Availability of water,Increased risk of frost damage",Decreased rental fee for managed bee colonies,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,N/A,18-24 years old
12/11/19,Farm manager (not owner),Fresno,South,100,Medium,0,Affiliated PCA (with an agricultural retailer),Yes,PCA/CCA/Crop consultant,Very Satisfied,,"Effort/time to manage it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)",,Surface water,No,,Yes,"Labor to plant and maintain it,Effort/time to manage it",None of these are incentives,We rented all our bees,Out of state,300,45-54 years old
12/11/19,Farm manager (not owner),Madera,Central,35000,Large,3000,Farm manager,No,,,Not sure,"Incompatibility with irrigation system(s),Labor to grow/maintain it,Availability of equipment needed to plant seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",A combination of surface water and groundwater,No,,Not sure,Prefer not to answer,None of these are incentives,We rented some bees and supplied some of our own,Out of state,,25-34 years old
12/11/19,Farm manager (not owner),San Joaquin,Central,0,,70,"Owner of the almond orchard(s),Farm manager,Affiliated PCA (with an agricultural retailer)",No,,,Not sure,We have no concerns about cover crops,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Increased strength of bee colonies during bloom",Groundwater,No,,Yes,We have no concerns about permanent habitat,Supporting native pollinators,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,,25-34 years old
12/11/19,Farm manager (not owner),San Joaquin,Central,70,Medium,70,Farm manager,No,,,Not sure,"Limited time for planting due to competing operations,Physical interference with operations",Increased strength of bee colonies during bloom,Groundwater,No,,Not sure,Lack of available land,"Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies",We rented all our bees,"California, but not a neighboring county",,25-34 years old
12/11/19,Owner/operator of almond orchard(s),Glenn,North,128,Medium,0,Owner of the almond orchard(s),No,,,No,"Availability of water,Expense of water,Inadequate soil type for cover crops,Increased risk of frost damage",None of these are incentives,Groundwater,Yes,Somewhat Satisfied,,Cost to plant and maintain it,"Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies",We rented all our bees,Out of state,210,45-54 years old
12/11/19,Owner/operator of almond orchard(s),"San Joaquin,Stanislaus",Central,300,Large,20,"Owner of the almond orchard(s),Farm manager,Affiliated PCA (with an agricultural retailer)",No,,,Yes,"Incompatibility with irrigation system(s),Cost of seeds","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom",Surface water,No,,Yes,"Lack of available land,Cost to plant and maintain it,Lack of information about how to grow permanent pollinator habitat","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,Prefer not to answer,185,35-44 years old
12/11/19,Owner/operator of almond orchard(s),Fresno,South,100,Medium,20,"Farm manager,Affiliated PCA (with an agricultural retailer)",No,,,Not sure,"Increased risk of frost damage,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Federal cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom",A combination of surface water and groundwater,No,,Not sure,"Labor to plant and maintain it,Effort/time to manage it,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents)","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies",We rented all our bees,Out of state,210,18-24 years old
12/11/19,"Owner, not responsible for day-to-day management",Fresno,South,500,Large,100,Owner of the almond orchard(s),No,,,No,"Incompatibility with irrigation system(s),Effort/time to manage it","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",Surface water,No,,No,Lack of available land,Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,We rented all our bees,Out of state,300,55-64 years old
12/11/19,Farm manager (not owner),Kern,South,N/A,NA,N/A,Owner of the almond orchard(s),Yes,PCA/CCA/Crop consultant,Somewhat Satisfied,,"Availability of equipment needed to plant seeds,Inadequate soil type for cover crops",,Surface water,No,,Not sure,Labor to plant and maintain it,Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,We rented all our bees,Out of state,,25-34 years old
12/12/19,Farm manager (not owner),Stanislaus,Central,20,Small,5,Farm manager,No,,,No,Increased risk of frost damage,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",Groundwater,No,,No,Cost to plant and maintain it,Supporting native pollinators,Our orchards were not mature enough for bee pollination,,,45-54 years old
12/12/19,Owner/operator of almond orchard(s),Madera,Central,60,Medium,0,Independent PCA (not affiliated with an agricultural retailer),Yes,PCA/CCA/Crop consultant,Very Satisfied,,"Incompatibility with irrigation system(s),Effort/time to manage it,Cost of equipment needed to plant seeds,Cost of seeds",,A combination of surface water and groundwater,No,,Not sure,We have no concerns about permanent habitat,"Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,Out of state,,25-34 years old
12/12/19,Farm manager (not owner),Fresno,South,100,Medium,50,Affiliated PCA (with an agricultural retailer),Yes,PCA/CCA/Crop consultant,Very Satisfied,,We have no concerns about cover crops,,A combination of surface water and groundwater,No,,Not sure,Incompatibility with irrigation system(s),"Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,Out of state,,25-34 years old
12/12/19,Owner/operator of almond orchard(s),Fresno,South,50,Medium,5,Farm manager,No,,,Not sure,Effort/time to manage it,None of these are incentives,Groundwater,No,,No,Effort/time to manage it,Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,We rented all our bees,"California, but not a neighboring county",185,35-44 years old
12/12/19,Farm manager (not owner),Kern,South,35000,Large,2000,Farm manager,Yes,"Private cost-share program (e.g., Seeds for Bees)",Not Satisfied,,"Limited time for planting due to competing operations,Physical interference with operations",,A combination of surface water and groundwater,No,,Yes,"Effort/time to manage it,Cost to plant and maintain it,Physical interference with operations,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents)","Decreased rental fee for managed bee colonies,Supporting native pollinators",We rented some bees and supplied some of our own,Out of state,220,35-44 years old
12/12/19,Farm manager (not owner),"Madera,Fresno,Kings,Tulare,Kern",South,1500,Large,85,Farm manager,No,,,Yes,"Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",A combination of surface water and groundwater,No,,Yes,"Cost to plant and maintain it,Availability of water,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents),Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We rented all our bees,Out of state,,25-34 years old
12/12/19,Farm manager (not owner),Madera,Central,1500,Large,80,Farm manager,No,,,No,"Availability of water,Expense of water",None of these are incentives,A combination of surface water and groundwater,No,,No,"Lack of available land,Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Physical interference with operations,Availability of water,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents),Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat",None of these are incentives,We rented all our bees,"California, but not a neighboring county",N/A,45-54 years old
12/12/19,Farm manager (not owner),Madera,Central,1900,Large,0,Farm manager,No,,,Yes,"Availability of water,Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",A combination of surface water and groundwater,Yes,Very Satisfied,,"Lack of available land,Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Expense of water,Availability of water","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards",We rented all our bees,Out of state,195,25-34 years old
12/12/19,Farm manager (not owner),Madera,Central,1700,Large,80,Farm manager,No,,,Yes,"Availability of water,Expense of water",Decreased rental fee for managed bee colonies,A combination of surface water and groundwater,No,,Not sure,Effort/time to manage it,"Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies",We rented all our bees,Out of state,200,25-34 years old
12/12/19,Farm manager (not owner),Madera,Central,1200,Large,40,Farm manager,No,,,Yes,"Availability of water,Expense of water",Decreased rental fee for managed bee colonies,A combination of surface water and groundwater,Yes,Somewhat Satisfied,,Availability of water,Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,We rented some bees and supplied some of our own,Out of state,200,25-34 years old
12/13/19,Farm manager (not owner),"Yolo,Stanislaus,Fresno",South,15,Small,2,"Owner of the almond orchard(s),Farm manager,Beekeeper",Yes,"Private cost-share program (e.g., Seeds for Bees),Directly from seed company",Very Satisfied,,"Availability of water,Expense of water,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)",,A combination of surface water and groundwater,Not sure,,No,Effort/time to manage it,9,We rented some bees and supplied some of our own,"Near your orchard(s): from the same county or a neighboring county,California, but not a neighboring county",,55-64 years old
12/13/19,Owner/operator of almond orchard(s),Yolo,Delta,500,Large,50,Affiliated PCA (with an agricultural retailer),Yes,"Private cost-share program (e.g., Seeds for Bees)",Somewhat Satisfied,,"Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it,Limited time for planting due to competing operations",,A combination of surface water and groundwater,No,,No,"Labor to plant and maintain it,Effort/time to manage it",9,We rented some bees and supplied some of our own,Near your orchard(s): from the same county or a neighboring county,,25-34 years old
12/13/19,Owner/operator of almond orchard(s),Madera,Central,200,Medium,0,"Affiliated PCA (with an agricultural retailer),Pesticide applicator",No,,,Yes,"Expense of water,Effort/time to manage it,Labor to grow/maintain it,Availability of equipment needed to plant seeds,Inadequate soil type for cover crops","Federal cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom",A combination of surface water and groundwater,No,,Not sure,"Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Lack of information about how to grow permanent pollinator habitat",Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,We rented all our bees,Out of state,,35-44 years old
12/13/19,Farm manager (not owner),Kern,South,6512,Large,2000,Farm manager,No,,,No,Prefer not to answer,None of these are incentives,Surface water,No,,No,We have no concerns about permanent habitat,Supporting native pollinators,We rented all our bees,Out of state,,25-34 years old
12/13/19,Farm manager (not owner),Madera,Central,1500,Large,80,Farm manager,No,,,Not sure,Prefer not to answer,"Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds",Groundwater,Yes,Somewhat Satisfied,,"Lack of available land,Increased risk of frost damage,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents)","Private cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Increased strength of bee colonies during bloom and afterwards,Supporting native pollinators",We supplied all of our own bee pollination,,,35-44 years old
